stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
37940,Seattle,W,SEA,YES,62,1,186.4393951804288,3.1073232530071464,NE 65th St & 35th Ave NE
18740,Seattle,W,SEA,YES,17E 40 44,2,186.39044663994468,3.106507443999078,NW Market St & Ballard Ave NW
11358,Seattle,W,SEA,YES,31 32 48N,0,186.16039747138967,3.102673291189828,NE 45th St & University Way NE
1085,Seattle,W,SEA,YES,10 11 12 3 49,0,185.88725917260172,3.0981209862100285,Pine St & 9th Ave
625,Seattle,E,SEA,YES,62,0,185.46397754339696,3.0910662923899492,S Washington St & 4th Ave S
844,Unknown,S,SEA,UNK,106 14 257 311 36 545E 630 7,0,185.2980547679208,3.08830091279868,5th Ave S & S Weller St
2330,Seattle,N,SEA,YES,1 13 2 8 D,1,184.9023469492486,3.0817057824874765,1st Ave N & Denny Way
11080,Seattle,W,SEA,YES,10 12 49,2,184.45420180244187,3.0742366967073647,E Pine St & Broadway
29091,Seattle,W,SEA,YES,31 32,1,184.19276739990204,3.069879456665034,Childrens Hospital AcRd & 45th Ave NE
32165,Boeing Aircraft Corporation,S,SEA,YES,124,1,184.01173693538183,3.066862282256364,East Marginal Way S & 16th Ave S
36525,South Seattle Community College,N,SEA,YES,125 128,3,182.27975220160937,3.037995870026823,South Seattle College AcRd & SW Findlay St
13005,Seattle,N,SEA,YES,3 4,0,181.62500522729542,3.0270834204549235,21st Ave & E James St
10641,Seattle,N,SEA,YES,62 75,0,181.24368170258677,3.020728028376446,Sand Point Way NE & NE 74th St
8681,Seattle,S,SEA,YES,106 7 9E,1,180.4777168696075,3.0079619478267916,Rainier Ave S & S Stevens St
7730,Seattle,N,SEA,YES,E,1,180.40804124915005,3.006800687485834,Aurora Ave N & N 85th St
9141,Seattle,S,SEA,YES,70,1,180.0046929736922,3.000078216228203,Eastlake Ave E & Harvard Ave E
75409,Seattle,N,SEA,YES,E,2,179.19695581882786,2.9866159303137976,Aurora Ave N & N 46th St
6880,Seattle,N,SEA,YES,345 5,0,179.18434324434585,2.9864057207390977,Greenwood Ave N & N 145th St
700,Seattle,N,SEA,YES,101N 102N 111N 150N 177N 212N 218N 545E 554EN,0,179.03370965783265,2.9838951609638773,4th Ave & Pike St
31140,Seattle,N,SEA,YES,33,1,178.95069975231408,2.982511662538568,Discovery Park AcRd & Texas Way
14230,Seattle,N,SEA,YES,D,1,178.53726271109383,2.975621045184897,15th Ave NW & NW Market St
9605,Seattle,S,SEA,YES,31 32 65 67,1,178.51156177846238,2.9751926963077064,Roosevelt Way NE & NE 45th St
16380,Seattle,N,SEA,NO,322,0,178.14780899808602,2.9691301499681004,1st Ave NE & NE 100th St
9575,Seattle,E,SEA,YES,255 65,1,178.11688435163478,2.968614739193913,NE Campus Pkwy & University Way NE
16520,Seattle,N,SEA,YES,45 62,1,177.47900532270472,2.957983422045079,NE Ravenna Blvd & NE 70th St
26860,Seattle,N,SEA,YES,31 32 40 62,0,177.00586491101214,2.950097748516869,Fremont Ave N & N 34th St
10030,Seattle,W,SEA,YES,79,0,176.60708976051734,2.943451496008622,NE 55th St & 35th Ave NE
10562,Seattle,N,SEA,YES,75,1,176.5496583052123,2.9424943050868717,Sand Point Way NE & 40th Ave NE
10280,Seattle,N,SEA,YES,303 322 70,0,175.8487019867605,2.9308116997793414,Fairview Ave N & Denny Way
41450,Seattle,W,SEA,YES,45,1,175.1413584288285,2.9190226404804753,N 85th St & Greenwood Ave N
29231,Seattle,E,SEA,YES,44 62,1,175.07938818123642,2.9179898030206073,N 45th St & Stone Way N
30635,Seattle,N,SEA,YES,101 102 124N 131N 132N 150 177 21N 24 28E 33 5,1,174.79605083277536,2.9132675138795894,4th Ave S & S Royal Brougham Way
10640,Seattle,N,SEA,YES,62,1,174.64715944831005,2.9107859908051674,Sand Point Way NE & NE 74th St
12690,Seattle,S,SEA,YES,3,0,174.19456215289878,2.903242702548313,34th Ave & E Union St
2244,Seattle,E,SEA,YES,1 13 17E 2 24 33 8,2,173.51723512051535,2.891953918675256,Denny Way & 2nd Ave
82235,Seattle,S,SEA,YES,67,0,173.10464483648778,2.8850774139414628,Roosevelt Way NE & NE 92nd St
30538,Seattle,N,SEA,YES,131 132,0,172.94930628561232,2.8824884380935387,4th Ave S & S Spokane St
36145,Seattle,S,SEA,YES,125,0,172.91910564532122,2.881985094088687,16th Ave SW & SW Findlay St
41740,Seattle,S,SEA,YES,107 124 60,1,172.07746753308606,2.867957792218101,13th Ave S & S Bailey St
3037,Seattle,W,SEA,YES,13 2 630,0,171.9720674461789,2.8662011241029814,Seneca St & 8th Ave
32150,Seattle,N,SEA,YES,60,1,171.94895243070593,2.865815873845099,14th Ave S & S Cloverdale St
5330,Seattle,E,SEA,YES,45 61,0,171.48768417903685,2.858128069650614,N 85th St & Greenwood Ave N
75403,University of Washington,S,SEA,YES,372EN 45 67,0,171.13270065229366,2.852211677538228,East Stevens Way NE & Benton Ln
45453,Seattle,W,SEA,YES,107,0,171.0376468051283,2.850627446752138,S 114th St & Cornell Ave S
5420,Seattle,W,SEA,YES,45 61,0,170.96401005985763,2.8494001676642937,N 85th St & Wallingford Ave N
5400,Seattle,E,SEA,YES,45,1,170.4612502474251,2.8410208374570853,N 85th St & Wallingford Ave N
21450,Seattle,N,SEA,YES,H,1,170.3757795556767,2.839596325927945,Delridge Way SW & SW Myrtle St
37081,Seattle,W,SEA,YES,40 45,1,170.21701925215984,2.8369503208693305,NW 85th St & 15th Ave NW
31670,Seattle,S,SEA,YES,60,0,170.02167335605108,2.833694555934185,14th Ave S & S Cloverdale St
17694,Seattle,W,SEA,YES,345 365,1,169.83305843656424,2.8305509739427372,North Seattle College AcRd & College Way N
28080,Seattle,S,SEA,YES,28E,1,169.6672658061781,2.827787763436302,8th Ave NW & NW 85th St
840,Seattle,N,SEA,YES,257 311,2,169.359720464453,2.8226620077408833,5th Ave S & S Jackson St
300,Seattle,S,SEA,YES,101 102 113 150 162 177,3,169.31934129877396,2.8219890216462327,2nd Ave & Pike St
39443,Seattle,W,SEA,YES,22,0,168.94087653799022,2.81568127563317,SW Thistle St & 41st Ave SW
21765,Seattle,N,SEA,YES,124 545E,1,168.36429198037655,2.8060715330062758,6th Ave S & S Royal Brougham Way
26645,Seattle,S,SEA,YES,40 98N C,0,168.28658342200148,2.8047763903666914,Westlake Ave N & Harrison St
36890,Seattle,N,SEA,YES,45N,0,168.25623359520964,2.8042705599201607,15th Ave NE & NE 52nd St
